0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:31 +0900] "GET /HS/noticeLi4.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:31 +0900] "GET /HS/img/search1.png HTTP/1.1" 200 63023
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:31 +0900] "GET /HS/css/noticeLi4.css HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:31 +0900] "GET /HS/img/search2.png HTTP/1.1" 200 32042
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:34 +0900] "GET /HS/noticeLi5.jsp HTTP/1.1" 200 19010
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:34 +0900] "GET /HS/css/noticeLi5.css HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:49 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5483
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:51 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20669
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:53 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:55 +0900] "GET /HS/noticeLi5.jsp HTTP/1.1" 200 19010
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:35 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:37 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:41 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/css/Header2.css HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/img/left-arrow.gif HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/img/right-arrow.gif HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/img/logo.png HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /HS/css/notice.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:11 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:11 +0900] "GET /HS/css/Header2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/css/Header2.css HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/img/logo.png HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/css/notice.css HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/img/right-arrow.gif HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:13 +0900] "GET /HS/img/left-arrow.gif HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:18 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:18 +0900] "GET /HS/css/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:18 +0900] "GET /HS/css/Header2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:22 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:22 +0900] "GET /HS/css/Header2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:22 +0900] "GET /HS/css/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:23 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:43:23 +0900] "GET /HS/css/notice.css HTTP/1.1" 304 -
